ID,Answer
0,中國
1,大量放射性元素衰變加熱
2,都市人居學會
3,2008年
4,中國
5,溫州人
6,索馬利亞
7,科德爾·赫爾
8,哈爾濱鐵路局
9,毛澤東
10,文化教育界高級人士
11,豐臣秀吉
12,蘋果公司
13,1962年世界盃
14,韓國
15,戈貝爾·居維葉男爵，簡稱喬治·居維葉
16,鎮壓福建范汝為之亂不力
17,蔬菜
18,「惠潮之民多與鄭氏相通」
19,羅馬人
20,南北大運河
21,1949年
22,董必武
23,張學良
24,加拿大之首
25,仔細觀察大自然
26,狗肉
27,葡萄牙
28,873人
29,權力分離
30,高斯光束傳播理論
31,航空母艦
32,高雄市
33,楊浦區
34,查理曼
35,蒙德極小期
36,給予印度人在中央及省級立法院有限的權力
37,馬祖道地
38,[CLS]
39,研究
40,西方商業模式
41,第7名
42,推古天皇
43,機器人系列
44,《煙臺條約》
45,烏蘇里江
46,中山美術館
47,瑞士
48,《日本邊海略圖》一書
49,三成
50,小金人
51,德國
52,580萬
53,岩石圈
54,前1500年
55,二十世紀八十年代
56,與漢人通婚
57,哈拉爾德看台重建
58,中俄羅斯高地
59,1961年10月
60,1275年
61,基督教
62,縣市
63,83.4%
64,本妙寺
65,裴存藩
66,「向北發展，向南防禦」
67,桓那部
68,[CLS]
69,庚子賠款
70,南極
71,土耳其
72,中華人民共和國政府
73,都市計畫
74,心臟病
75,1986年
76,[CLS]
77,徐達
78,公元245年初
79,回[UNK]部落
80,德國統一社會黨
81,英格蘭聯賽盃
82,中國移動通信
83,儒略二世
84,梅鐸
85,[CLS]
86,耶穌會妨礙他們的殖民主義行為
87,班傑明·富蘭克林
88,大克羅埃西亞主義
89,北高加索
90,芝加哥公牛
91,成都
92,漢斯·艾斯勒
93,巴克萊中心
94,中國四大古橋之一
95,超文字
96,公路網絡
97,2位
98,馬提阿利
99,伊斯蘭教
100,窩闊台汗國
101,多市政府自行興建
102,「上海學府中央區」
103,大氣圈
104,軍事重地一一解禁
105,布拉格之春
106,中華民國大總統袁世凱
107,少女模特兒
108,[CLS]
109,1827年
110,阿里烏教派
111,保護勞動者的合法權益
112,1988年
113,細菌會開始生長，增加食物中毒的可能性
114,八掌溪
115,資訊網
116,1970年
117,恐怖主義
118,歐美日列強
119,國防部
120,奧古斯都
121,草書
122,商品的生產地
123,探馬赤軍
124,新憲法
125,1956年
126,[CLS]
127,米盧斯
128,四年
129,北魏風格
130,公元前216年
131,左心房
132,柏拉圖
133,石器時代
134,紅矮星
135,哈馬尼·迪奧里
136,蔣中正嫡系部隊
137,第四次十字軍東征
138,約瑟夫·朴
139,粳稻
140,1911年
141,國際聯盟
142,敦煌郡
143,1878年5月15日
144,1934年
145,同意權
146,四川省
147,煉鋁業
148,1917年
149,中世紀
150,錢德拉·鮑斯
151,20世紀
152,副熱帶濕潤氣候
153,全真派
154,烏拉圭隊
155,聖索非亞大教堂
156,印度
157,中華人民共和國
158,沙俄
159,亞美尼亞
160,1964年民權法案
161,綫車
162,1976年
163,太祖王
164,1945年
165,威廉·赫歇爾
166,東吳大學
167,《國際動物命名規約
168,昭和天皇
169,共產黨情報局
170,港幣6元
171,美國綠卡
172,212萬人
173,景德鎮
174,鋼鐵工業
175,三陽工業
176,苦修隱居
177,多倫多
178,崇禎季年
179,天主教
180,九州旅客鐵道
181,可也余志
182,俄羅斯聯邦
183,伊斯蘭
184,1941年12月7日
185,845年
186,摩梭人
187,羅斯托夫州
188,2003年
189,孫文
190,穆斯林
191,淮河流域
192,1918年
193,1975年
194,2017年
195,一座廟宇為村民之信仰中心，神明管轄村莊的範圍
196,1921年
197,聖瑪利亞教堂
198,勸誡性長詩
199,尼西亞帝國
200,基因轉殖生物
201,亞熱帶季風性濕潤氣候
202,《標準詞典》
203,1948年
204,高麗國
205,新聞法
206,1862年
207,400萬
208,二十五歲
209,1388年
210,張俊
211,《大目犍連變文》
212,詹姆斯·霍本
213,晉中市
214,嶺北行省
215,白[UNK]紀中期
216,戰爭廳
217,「日產復興計畫」
218,心肌梗塞
219,1985年
220,臺灣
221,水墨畫
222,1999年
223,補庫當天下午
224,埃及
225,大月氏國
226,長久以來以聯合國為代表的國際社會
227,1701年
228,22900人
229,13世紀
230,大話西遊[UNK]
231,儒洪多湖
232,中南海
233,公安邊防部隊
234,[CLS]
235,岡本大八事件
236,宋文帝元嘉年
237,與太祖相悖的
238,李登輝
239,走資本主義道路
240,泉州府
241,兩個
242,安豐塘壩
243,托爾金的兒子克里斯托夫
244,攻城臼炮
245,尼波斯
246,5800日元
247,約瑟夫·朴
248,188萬公里
249,十字軍
250,伊斯蘭黃金時代
251,西方式握拍
252,2005年
253,絕大多數是借了共產政府的小船以捕魚
254,農藥
255,瑪西婭·麥克納特
256,〈妮歌〉
257,1748年
258,1650年
259,查理斯二世
260,利用互補的資源優勢帶動黑龍江流域地區經濟的發展
261,降雨的不均衡
262,總質量
263,10部
264,單車
265,英國
266,梅雨時期
267,重慶
268,四分之三左右
269,歐洲理事會議會大會
270,巴達維亞
271,特被認為是將實驗引入心理學研究的人
272,磚石
273,鋪墊性問題
274,1100公尺
275,漢明帝
276,烽火台
277,1917年
278,《1800聯合法案》
279,紐西蘭
280,香港之女
281,議會初期實行一院制
282,鮑德溫郡
283,美白聖品
284,德國使用無限制潛艇戰
285,六四事件
286,格拉希門克彗星
287,四川省
288,維基媒體
289,民國三十四年
290,雅克·考文
291,分區氣溫
292,許慎
293,6月1日
294,杜比劇院
295,清華學堂
296,奧斯卡金像獎
297,中華民國
298,宗教信仰
299,《蘇達爾摩》
300,劉少奇
301,宋設著作官
302,北方四島
303,力主抗戰
304,元大都
305,公元前1世紀
306,社群技術預覽版
307,5公里
308,窩闊台汗
309,球童
310,基督教教義
311,1936年
312,[CLS]
313,非營利博物館
314,負面情況
315,286年
316,塞德里克·吉班斯
317,加州
318,《愛情萬歲》
319,歐瑞斯特
320,海拔高度
321,東羅馬聖像藝術
322,1978年
323,1913年
324,東正教
325,公元前1世紀
326,1107萬平方公里
327,伊朗人質危機
328,[CLS]
329,葉榆縣
330,突厥人
331,朝鮮平壤南部大同江入海口
